Time,Inflation Rate,Trade Balance,Monthly GDP,Unemployment Rate,Trade Interest,,original,Jan22-Oct22
Apr-21,4.16,65.9,23.12,6.1,1.64,,,
May-21,4.99,66.38,23.29,5.8,1.62,,,
Jun-21,5.39,70.83,23.47,5.9,1.52,,,
Jul-21,5.37,69.34,23.66,5.4,1.32,,,
Aug-21,5.25,71.82,23.82,5.2,1.28,,,
Sep-21,5.39,76.77,24.01,4.8,1.37,,,
Oct-21,6.22,67.36,24.45,4.5,1.58,,,
Nov-21,6.81,79.38,24.58,4.2,1.56,,,
Dec-21,7.04,80.66,24.93,3.9,1.47,,,
Jan-22,7.48,86.5,24.86,4,1.76,,,
Feb-22,7.87,86.96,25.01,3.8,1.93,,,
Mar-22,8.54,102.54,25.29,3.6,2.13,,,
Apr-22,8.26,85.38,25.54,3.7,2.75,,,
May-22,8.58,84.26,25.78,3.6,2.9,,,
Jun-22,9.06,81.22,25.89,3.6,3.14,,,
Jul-22,8.52,71.04,26.12,3.5,2.9,,,
Aug-22,8.26,68.52,26.13,3.6,2.9,,,
Sep-22,8.2,71.22,26.3,3.5,3.52,,,
Oct-22,7.75,75.27,26.46,3.6,3.98,,,
Nov-22,7.11,62.56,26.46,3.6,3.89,,,
Dec-22,6.45,70.76,26.75,3.5,3.62,,,
Jan-23,6.41,69.96,26.82,3.4,3.53,,,
Feb-23,6.04,70.52,26.87,3.6,3.75,,,
Mar-23,4.98,60.32,26.87,3.5,3.66,,,
Apr-23,4.93,72.76,26.94,3.4,3.46,,,
May-23,4.05,66.07,27.07,3.7,3.57,,,
Jun-23,2.97,64.81,27.18,3.6,3.75,,,
Jul-23,3.18,64.61,27.39,3.5,3.9,,,
Aug-23,3.67,59.63,27.62,3.8,4.17,,,
