Time,All items,Food,Energy,Shelter
2019-Jan,1.6,1.6,-4.8,3.2
2019-Feb,1.5,2,-5,3.4
2019-Mar,1.9,2.1,-0.4,3.4
2019-Apr,2,1.8,1.7,3.4
2019-May,1.8,2,-0.5,3.3
2019-Jun,1.6,1.9,-3.4,3.5
2019-Jul,1.8,1.8,-2,3.5
2019-Aug,1.7,1.7,-4.4,3.4
2019-Sep,1.7,1.8,-4.8,3.5
2019-Oct,1.8,2.1,-4.2,3.3
2019-Nov,2.1,2,-0.6,3.3
2019-Dec,2.3,1.8,3.4,3.2
2020-Jan,2.5,1.8,6.2,3.3
2020-Feb,2.3,1.8,2.8,3.3
2020-Mar,1.5,1.9,-5.7,3
2020-Apr,0.3,3.5,-17.7,2.6
2020-May,0.1,4,-18.9,2.5
2020-Jun,0.6,4.5,-12.6,2.4
2020-Jul,1,4.1,-11.2,2.3
2020-Aug,1.3,4.1,-9,2.3
2020-Sep,1.4,3.9,-7.7,2
2020-Oct,1.2,3.9,-9.2,2
2020-Nov,1.2,3.7,-9.4,1.9
2020-Dec,1.4,3.9,-7,1.8
2021-Jan,1.4,3.8,-3.6,1.6
2021-Feb,1.7,3.6,2.4,1.5
2021-Mar,2.6,3.5,13.2,1.7
2021-Apr,4.2,2.4,25.1,2.1
2021-May,5,2.2,28.5,2.2
2021-Jun,5.4,2.4,24.5,2.6
2021-Jul,5.4,3.4,23.8,2.8
2021-Aug,5.3,3.7,25,2.8
2021-Sep,5.4,4.6,24.8,3.2
2021-Oct,6.2,5.3,30,3.5
2021-Nov,6.8,6.1,33.3,3.8
2021-Dec,7,6.3,29.3,4.1
2022-Jan,7.5,7,27,4.4
2022-Feb,7.9,7.9,25.6,4.7
2022-Mar,8.5,8.8,32,5
2022-Apr,8.3,9.4,30.3,5.1
2022-May,8.6,10.1,34.6,5.5
2022-Jun,9.1,10.4,41.6,5.6
2022-Jul,8.5,10.9,32.9,5.7
2022-Aug,8.3,11.4,23.8,6.2
2022-Sep,8.2,11.2,19.8,6.6
2022-Oct,7.7,10.9,17.6,6.9
2022-Nov,7.1,10.6,13.1,7.1
2022-Dec,6.5,10.4,7.3,7.5
2023-Jan,6.4,10.1,8.7,7.9
2023-Feb,6,9.5,5.2,8.1
2023-Mar,5,8.5,-6.4,8.2
2023-Apr,4.9,7.7,-5.1,8.1
