Time,All items,Food,Energy,Shelter
2019/1/1,1.6,1.6,-4.8,3.2
2019/2/1,1.5,2,-5,3.4
2019/3/1,1.9,2.1,-0.4,3.4
2019/4/1,2,1.8,1.7,3.4
2019/5/1,1.8,2,-0.5,3.3
2019/6/1,1.6,1.9,-3.4,3.5
2019/7/1,1.8,1.8,-2,3.5
2019/8/1,1.7,1.7,-4.4,3.4
2019/9/1,1.7,1.8,-4.8,3.5
2019/10/1,1.8,2.1,-4.2,3.3
2019/11/1,2.1,2,-0.6,3.3
2019/12/1,2.3,1.8,3.4,3.2
2020/1/1,2.5,1.8,6.2,3.3
2020/2/1,2.3,1.8,2.8,3.3
2020/3/1,1.5,1.9,-5.7,3
2020/4/1,0.3,3.5,-17.7,2.6
2020/5/1,0.1,4,-18.9,2.5
2020/6/1,0.6,4.5,-12.6,2.4
2020/7/1,1,4.1,-11.2,2.3
2020/8/1,1.3,4.1,-9,2.3
2020/9/1,1.4,3.9,-7.7,2
2020/10/1,1.2,3.9,-9.2,2
2020/11/1,1.2,3.7,-9.4,1.9
2020/12/1,1.4,3.9,-7,1.8
2021/1/1,1.4,3.8,-3.6,1.6
2021/2/1,1.7,3.6,2.4,1.5
2021/3/1,2.6,3.5,13.2,1.7
2021/4/1,4.2,2.4,25.1,2.1
2021/5/1,5,2.2,28.5,2.2
2021/6/1,5.4,2.4,24.5,2.6
2021/7/1,5.4,3.4,23.8,2.8
2021/8/1,5.3,3.7,25,2.8
2021/9/1,5.4,4.6,24.8,3.2
2021/10/1,6.2,5.3,30,3.5
2021/11/1,6.8,6.1,33.3,3.8
2021/12/1,7,6.3,29.3,4.1
2022/1/1,7.5,7,27,4.4
2022/2/1,7.9,7.9,25.6,4.7
2022/3/1,8.5,8.8,32,5
2022/4/1,8.3,9.4,30.3,5.1
2022/5/1,8.6,10.1,34.6,5.5
2022/6/1,9.1,10.4,41.6,5.6
2022/7/1,8.5,10.9,32.9,5.7
2022/8/1,8.3,11.4,23.8,6.2
2022/9/1,8.2,11.2,19.8,6.6
2022/10/1,7.7,10.9,17.6,6.9
2022/11/1,7.1,10.6,13.1,7.1
2022/12/1,6.5,10.4,7.3,7.5
2023/1/1,6.4,10.1,8.7,7.9
2023/2/1,6,9.5,5.2,8.1
2023/3/1,5,8.5,-6.4,8.2
2023/4/1,4.9,7.7,-5.1,8.1
